buffer/size,evaluation/Success Rate,evaluation/Episode length Mean,evaluation/Episode length Min,evaluation/Episode counts,evaluation/Total Reward Mean,evaluation/Total Reward Max,iteration,time/bsrl evaluation (s),time/bsrl learning (s),time/evaluate historic trajectories (s),time/sampled historic trajectories (s),time/sampled new trajectories (s),time/training batch (s),time/iteration (s),time/total (s),exploration/epsilon
0,1.0,93.3,1,10,2.850033,29.400331,0,231.8609524825588,104.31883358303457,1.2516975402832031e-06,0.00015761703252792358,81.71769134234637,0.00037298351526260376,417.89800926018506,419.53078634943813,0.855
0,1.0,10.3,1,10,14.120008,142.1001,1,26.178134264424443,554.3527327124029,1.3522803783416748e-06,0.0001751696690917015,12282.802748716436,0.0013055717572569847,12863.33509778697,13282.869163993746,0.7695
0,1.0,10.0,1,10,12.220003203302621,102.90003204345703,2,25.390258273109794,4.407939135096967,9.816139936447144e-07,0.00024434085935354233,912.8451106483117,0.0014342255890369415,942.6449876045808,14225.517092010006,0.69255
0,1.0,8.4,1,10,16.330007018148898,133.9000701904297,3,21.321582226082683,2.814299046061933,1.2712553143501282e-06,0.00013745855540037155,704.5977586498484,0.00044357776641845703,728.7342222295702,14954.254396162927,0.623295
0,1.0,18.3,1,10,13.350017,134.40018,4,46.38615769520402,3.25155574362725,1.0514631867408752e-06,0.000363214872777462,735.8085865480825,0.00021479465067386627,785.4468790479004,15739.704113232903,0.5609655
0,1.0,14.7,1,10,11.690005797147752,107.70005798339844,5,37.51673567574471,2.4624707605689764,1.562759280204773e-06,0.0001933649182319641,597.5509931482375,0.00023694615811109543,637.5306314583868,16377.237642385997,0.50486895
0,1.0,11.7,1,10,14.99001037478447,140.70010375976562,6,29.550249374471605,2.422790919430554,1.171603798866272e-06,0.00013706833124160767,589.8317474517971,0.0001795971766114235,621.8051055828109,16999.04543512501,0.454382055
0,1.0,12.0,1,10,11.960009,120.50008,7,30.305053755640984,1.6838594833388925,1.34296715259552e-06,0.00024553295224905014,393.2915568780154,0.0001722443848848343,425.28088923729956,17424.32923629321,0.4089438495
0,1.0,9.8,1,10,14.170008,142.60008,8,24.95877876225859,3.1979354163631797,1.0915100574493408e-06,0.00015702564269304276,725.5450728004798,0.0001415777951478958,753.7020866740495,18178.03418699,0.36804946455000004
0,1.0,12.9,1,10,13.950012511014938,130.3001251220703,9,32.97286644298583,1.9648980665951967,1.232139766216278e-06,0.0001645199954509735,489.91911696922034,0.00021113920956850052,524.8572583701462,18702.894432332367,0.33124451809500005
